Place,Rating,latitude,longitude
Baps Shri Swaminarayan Mandir,4.755555556,29.6070559,-95.5790908
"Baps Shri Swaminarayan Mandir, Kolkata",4.72,22.4145089,88.2839351
Baptist Mission Church,4,25.6770733,94.1120652
Bara Bazaar,4.136363636,25.5779634,91.8767551
Bara Imambara,4.242142857,26.8688226,80.912806
Bara Pathar Temple,4.185185185,31.09823,-97.34278
Barabar Caves,3.684210526,25.0055762,85.0633024
Barabar Hills,4,41.55419,-91.53489
Barabati Fort,3.454545455,20.4858221,85.864648
Barabati Stadium,4.272727273,20.4807043,85.8685254
Barachukki and Gaganachukki Falls,4.229591837,31.25327,-96.93585
Barah kaman,3.569767442,27.65791,77.26908
Barahi Temple,4,27.6668467,85.4239357
Baralacha Pass,4,32.7585746,77.420193
Baramura Eco Park,5,23.8176638,91.5805572
Barasat Stadium,4.4,22.7174323,88.4786875
Barbotey Rock Garden,4.43083004,33.48205,-85.81469
Barda Hills Wildlife Sanctuary,3.4,32.90874,-97.58419
Bardar Sanctuary,3,32.90874,-97.58419
Barddhaman Maharaja Palace,3.222222222,22.5239336,88.32581
Bardhaman Science Centre,5,23.2504765,87.8494104
Bargabheema Temple,3.6,31.09823,-97.34278
Bargi Dam,4.355704698,22.9385969,79.9214226
Barkana Falls,3.666666667,31.25327,-96.93585
Barmer Fort,4,44.56784,7.41295
Barot Dam,4.068965517,33.5102,36.29128
Barot Valley,4.566037736,32.81874,-85.17939
Barsana Shri Radha Rani Temple,4.26984127,31.09823,-97.34278
Barsi Gate,3.75,36.85336,-100.05541
Barton Library,3.583333333,51.9673146,-0.4269248
Barua Sagar,4.176470588,25.375541,78.7323625
Barua Sagar Fort,3.923076923,44.56784,7.41295
Basant Art Emporium,4.133333333,41.51145,-78.23529
Basar Saraswati Temple,4.08045977,31.09823,-97.34278
Basaralu Temple,4.5,12.7102405,76.8170717
Basavanagudi,4.173160173,13.8345913,75.7339359
Basavanagudi Aquatic Centre,3.75,4.75,11.83333
Basel Mission Church,4.333333333,13.6343509,74.6906749
Basheshwar Mahadev Temple,4.571428571,31.09823,-97.34278
Basilica of Bom Jesus,4.201053135,15.5006782,73.9110525
Basilica of Our Lady of Graces,4.444444444,48.55651,-3.18533
Basistha Ashram Temple,4.234234234,31.09823,-97.34278
Bassi Wildlife Sanctuary,3.833333333,32.90874,-97.58419
Bastar Palace,4.095238095,19.0873784,82.0267233
Basukinath Temple,3.927536232,26.4738255,87.2786989
Batadrava Than,4.333333333,22.57422,71.19942
Batapady Beach,4.333333333,46.91807,-104.00437
Batasia Loop,4.104339797,27.0167011,88.2471186
Bathinda Fort,3.741935484,30.2077753,74.9372669
Bathinda Lake,4.507462687,30.2352583,74.9318569
Bawan Jinalaya Jain Temple,5,31.09823,-97.34278
Bawana Industrial Area,3.666666667,28.7899827,77.05343
Bawangaja,4.25,21.98333,74.85
Bawey Wali Mata Temple,4.243243243,31.09823,-97.34278
Bawkhaleshwar temple,4.483516484,31.09823,-97.34278
Bay Pride Mall,3.722222222,9.9774689,76.2766776
Bay of Life Surf & SUP,4.662650602,-37.8675661,144.8889356
Baywatch Amusement Park,4.342857143,33.33944,44.44627
Bear Shola Falls,3.718232044,10.2396171,77.4786407
Beas Kund,4.226666667,32.3665396,77.0855604
Beas River,4.370146678,31.8057218,77.1890088
Bedi Port,4.428571429,22.5073886,70.0321001
Bedsa Caves,4,42.93117,2.97699
Beechanahalli Dam,4.428571429,33.5102,36.29128
Beejamandal Temple,2.928571429,24.8293489,79.9344894
Beeji's Park,4.2,32.5361446,75.9825393
Begum Hazrat Mahal Park,4.090909091,39.11251,-100.35875
Begum Mahal,4.4,23.7161632,90.4015925
Begumpet Mosque,3.909090909,17.438999,78.4685809
Begur Fort,3.833333333,12.8708766,77.6227291
Begur Wildlife Sanctuary,4.111111111,32.90874,-97.58419
Behta Hazipur Railway Station,4,47.27103,8.8218
Bekal Beach,4.484536082,12.3861715,75.04196
Bekal Fort,4.358885017,12.3922237,75.0327651
Bekar Bandh,4.666666667,23.8005438,86.4287608
Bela Church,3.454545455,41.0781187,-79.5347682
Belapur Fort,3.851851852,19.0051696,73.0282853
Belapur Mango Garden,4.382352941,45.7747,-86.5507
Belavadi,4.21875,13.28207,75.995669
Belekan beach,5,14.5206356,74.3444045
Belgaum Fort,3.964285714,15.8581696,74.5255651
Belha Temple,4.5,31.09823,-97.34278
Bellandur Lake,3.138888889,12.9357724,77.666761
Bellary Fort,4.322580645,15.1486711,76.9104097
Bellary Zoo,4.2,15.1446995,76.9037958
Belle Mall,4.5,44.6507103,-103.8610795
Belum Caves,4.035573123,15.102175,78.1116692
Belur Golf Course,4.636363636,-1.30498,36.80058
Belur Math,4.386308068,22.6323298,88.3564507
Belvedere House,4.5,51.5400494,-0.1857889
Belvedere Point,4.060606061,17.8721408,-76.4369595
Benaulim Beach,4.534759358,15.2529693,73.9202157
Bengal Natural History Museum,3.840909091,32.732,-117.14753
Bengaluru City Railway Station,3.885714286,12.9775068,77.5707681
Beni Sagar Dam,3.636363636,33.5102,36.29128
Benimadhav Temple,3.818181818,31.09823,-97.34278
Benog Wildlife Sanctuary,4.538461538,32.90874,-97.58419
Benu Ban Bihari Temple,4.5,31.09823,-97.34278
Benz Celebrity Wax Museum,4.35483871,40.4244,-3.69139
Berijam Lake,4.152145644,10.187019,77.3941148
Besant Nagar Beach,4.412988651,12.9986409,80.2707296
Bet Dwarka,3.655462185,22.23944,68.96778
Betalbatim Beach,4.584745763,15.2931923,73.9077452
Beth El Synagogue,4,33.5957582,-7.6268321
Bethesda International Prayer Centre,4.538461538,4.75,11.83333
Betla Fort,3.428571429,44.56784,7.41295
Betul Beach,4.216216216,15.0415524,73.9871623
Beypore Beach,4.296137339,11.1826629,75.7972068
Beypore Lighthouse,4.2,11.1581809,75.8057952
Beyt Dwarka Beach,3.847457627,46.91807,-104.00437
Bhadbhada Dam,4.258064516,33.5102,36.29128
Bhadra Fort,3.90625,23.0238245,72.5812092
Bhadra Fort & Teen Darwaja,3.739884393,23.0238245,72.5812092
Bhadra Maruti,3.922222222,20.0098134,75.1956726
Bhadra Wildlife Sanctuary,3.929824561,32.90874,-97.58419
Bhadrakali Temple,4.042553191,17.9948572,79.5828724
Bhadrawati Jain Temple,4.2,31.09823,-97.34278
Bhadwarmata Temple,3.6,31.09823,-97.34278
Bhagabati Temple,4.2,19.7826439,85.1664729
Bhagavan Sri Ram Mandir,3.5,26.72889,85.92851
Bhagavatha Padithurai Ghat,3.25,24.96472,10.17278
